CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,POP_2022,AREA_KM2_CALCULADA,LAT,LON
1,Norte,11,Rondônia,1100155,Ouro Preto do Oeste,110015525,Rondominas,2411,664.4145956720428,-10.400821320671326,-61.96507698061193
1,Norte,11,Rondônia,1100189,Pimenta Bueno,110018905,Pimenta Bueno,31265,1849.3161260051875,-11.802092012069215,-61.06541151042768
1,Norte,11,Rondônia,1100189,Pimenta Bueno,110018915,Marco Rondon,2497,4209.172634641267,-11.860510924557548,-60.64385369443124
1,Norte,11,Rondônia,1100189,Pimenta Bueno,110018920,Itaporanga,1317,225.3830288425526,-11.56737963492096,-61.234786635422275
1,Norte,11,Rondônia,1100205,Porto Velho,110020505,Porto Velho,412807,9368.911421537905,-8.901557547433281,-63.94557526165573
1,Norte,11,Rondônia,1100205,Porto Velho,110020510,Abunã,2385,1626.197394867965,-9.630138418433159,-65.26064910951234
1,Norte,11,Rondônia,1100205,Porto Velho,110020515,Calama,2312,2945.0763289624347,-8.238685839825653,-63.17450811280128
1,Norte,11,Rondônia,1100205,Porto Velho,110020516,Demarcação,845,3426.4204083167397,-8.443181459279154,-62.62879861316059
1,Norte,11,Rondônia,1100205,Porto Velho,110020517,Extrema,7171,2069.2742200438684,-9.658589819839177,-66.20987815564375
1,Norte,11,Rondônia,1100205,Porto Velho,110020518,Fortaleza do Abunã,474,1299.0666205957548,-9.549994235803346,-65.49806708686188
1,Norte,11,Rondônia,1100205,Porto Velho,110020520,Jaci Paraná,11672,6558.613213016951,-9.46275786632779,-64.53319589818638
1,Norte,11,Rondônia,1100205,Porto Velho,110020525,Mutum Paraná,7509,3635.828486604546,-9.684999027022693,-64.8006547161186
1,Norte,11,Rondônia,1100205,Porto Velho,110020530,Nazaré,607,742.2496237519398,-8.095759759120153,-63.306460384907474
1,Norte,11,Rondônia,1100205,Porto Velho,110020535,Nova Califórnia,5216,750.467654093035,-9.75757628590444,-66.59587614002896
1,Norte,11,Rondônia,1100205,Porto Velho,110020540,São Carlos,1176,691.6520598293822,-8.341306402902088,-63.48846185748519
1,Norte,11,Rondônia,1100205,Porto Velho,110020545,Vista Alegre do Abunã,8260,1523.484386413511,-9.616858135915848,-65.84687719801039
1,Norte,11,Rondônia,1100254,Presidente Médici,110025405,Presidente Médici,12150,236.8973767859489,-11.244376174947712,-61.88306982739864
1,Norte,11,Rondônia,1100254,Presidente Médici,110025415,Estrela de Rondônia,1915,421.57438522139694,-11.267555547571527,-61.768915722011364
1,Norte,11,Rondônia,1100254,Presidente Médici,110025420,Novo Riachuelo,1229,374.1464508745582,-11.044167613689975,-61.736598813587754
1,Norte,11,Rondônia,1100254,Presidente Médici,110025425,Vila Bandeira Branca,1272,172.7427070408765,-11.061158472306932,-61.893177500630514
1,Norte,11,Rondônia,1100254,Presidente Médici,110025430,Vila Camargo,2761,569.2116674726575,-11.156257987132115,-61.97141864270313
1,Norte,11,Rondônia,1100262,Rio Crespo,110026205,Rio Crespo,3471,1737.4323928522592,-9.678837432528034,-62.83215590763458
1,Norte,11,Rondônia,1100288,Rolim de Moura,110028805,Rolim de Moura,56406,1470.753174449889,-11.740611050059377,-61.7490984413443
1,Norte,11,Rondônia,1100296,Santa Luzia D'Oeste,110029605,Santa Luzia D'Oeste,7419,1208.2274014949621,-12.139106534896502,-61.73207981913064
1,Norte,11,Rondônia,1100304,Vilhena,110030405,Vilhena,95832,11775.609651030918,-12.130606519351694,-60.1128719362507
1,Norte,11,Rondônia,1100320,São Miguel do Guaporé,110032005,São Miguel do Guaporé,18952,7109.650458327579,-11.631918850799583,-62.77190934058664
1,Norte,11,Rondônia,1100320,São Miguel do Guaporé,110032020,Santana do Guaporé,2683,439.1334439158522,-11.715772425593014,-62.52389950152991
